Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
0,-0.2972641,1.632249815,-2.401269283,-1.479924362,-0.270119391,0.926136407,0.883215223,-0.21370842,-0.330572612,-0.921697986
1,1.486488938,-0.041783715,0.318877226,0.517935588,1.183871588,-1.058424892,-1.360076306,0.171356751,-0.96657091,-0.260204768
1,-0.043648309,0.223085292,-0.15671975,-0.018952899,0.270297248,-0.245715729,-0.988984957,0.394226096,-0.339636139,0.693447954
0,-0.86297321,-1.135984013,-0.004441484,-0.094089331,-1.242210535,0.487113655,0.253044013,-0.38655588,0.778381777,0.978257534
0,-0.156399156,0.156952751,0.036565134,1.17010199,-0.304463937,-0.522107686,0.678423615,-0.060989884,0.083880015,-0.934560354
1,0.046469492,1.028991117,1.067385389,0.236975561,-0.571854882,0.116632475,-0.622861573,0.651058823,-0.650612554,-0.710387653
0,-1.099583922,-0.526818256,-1.205595441,0.009171525,-0.145996069,0.213516064,1.975366017,0.040993327,-0.516170898,-0.306141797
0,0.628741005,-1.726005955,-0.909472218,-0.348982048,-0.512906628,-1.197247972,-0.044209336,0.00203424,-0.566326987,0.714578987
0,0.315173079,-0.4426652,-0.392837288,0.849158569,-0.035260927,0.222408182,0.936232095,0.4992543,-0.447461522,-0.324516609
1,0.891997282,-0.744780653,0.193429384,-0.626321687,0.657900984,-1.018108562,-0.641186429,0.246144744,-0.451310468,2.766126703
1,-0.593775517,-2.715142739,0.909109277,-1.153426437,-1.893213141,-1.592367122,-0.185605549,-1.279531098,-0.026261555,0.761434757
0,-0.000551541,-0.067999881,0.226013725,0.522043914,-0.838393613,-0.769447236,-0.30351128,-0.298107407,-0.31842977,0.438038073
0,-1.145005268,-0.306988705,0.941999793,1.144717047,-1.082066174,-0.090710255,1.735039792,0.14330413,-0.616094432,0.079729246
0,0.311461477,-2.687706755,-1.217762487,-1.466767335,0.175530221,-0.833191117,-0.024379386,0.021811674,-0.662021591,0.419663261
1,-1.930847473,-0.16760888,1.429612403,0.359572578,0.452099338,0.228808588,1.01746109,0.102477364,-0.187715727,0.615355005
1,0.337374102,-1.765080448,-1.736337393,-0.845598734,0.644931858,-1.045044312,-0.463661391,-0.534292985,-0.89204062,2.653121611
0,1.143099837,0.49502421,1.009583504,0.838039157,0.260335425,-0.546448845,-0.161901547,0.535397487,-0.295564264,-0.079212874
0,-1.255893108,0.338248418,0.579482809,0.343213619,0.45809272,0.705811233,-0.805420462,0.575280249,-0.425672672,-1.142195725
0,-0.066087684,-1.274405328,0.18652141,-1.143059963,-0.762510181,-0.539139526,-0.801573823,-0.585855914,-0.365173386,0.208352928
0,1.114994127,0.136014448,-1.455373396,1.357400073,0.014297196,-0.545170705,-1.244164323,0.605811357,0.148771316,-0.101262648
0,0.472222291,0.202948502,0.676993015,-0.098490683,-0.800180511,-0.120227067,-0.139270096,-0.078156739,-0.024079555,-0.150874639
0,0.419854494,0.451109651,-0.095485942,-0.3726547,1.42289707,0.27788916,-0.60278704,0.486289575,-0.606445326,0.033792217
0,0.389196699,0.167825691,-1.596851948,-0.231105262,-0.285174486,0.541194797,0.471053121,0.467929247,-0.464237922,-0.710387653
0,-0.655648741,-0.097878225,0.479154677,1.620060044,-0.907612795,-0.425128972,1.190776696,-1.168499015,-0.477836251,0.217540333
0,-2.4458333,0.628877844,1.228836472,-0.748809229,0.978739839,-0.451057455,-0.766499334,1.134765365,-0.559229563,-0.146280936
0,0.20931036,-0.14032454,-2.037778363,0.620113681,-0.400307267,0.625593163,0.665284997,-0.217403528,-0.327224832,0.226727739
0,-3.553984251,-0.113127407,0.404445134,2.009429337,2.177872392,-1.689523198,-1.234306946,0.185283482,2.791268136,-0.664450624
0,0.810617264,0.237022068,0.316894812,0.110302335,1.125897285,-0.410473418,-0.85951126,-0.149119469,-0.351530328,1.113312399
1,1.274610414,-0.041700019,0.431756637,0.520136845,0.404809802,-0.664931183,-0.884934321,-0.065166432,-0.469338006,0.272664768
0,-1.174774049,0.047431877,1.038629267,0.387036034,0.852352967,-1.086639259,-0.961041532,0.831025206,-0.412557581,-0.012144812
1,1.410716016,-0.644214775,0.410805939,-0.306752651,-0.022709439,-1.356040929,-0.904311966,-0.264469871,-0.392906185,0.551961905
0,-0.623603102,3.119741531,0.374751114,-1.785169562,0.230348296,1.44398072,-0.776351186,0.098699376,-0.400133603,0.144041087
1,0.713183939,0.429318044,0.917994148,-1.546608925,-0.20515365,0.063686135,0.425546511,0.428247294,-0.431487479,-0.700281506
0,0.865335088,0.4002034,0.458162182,0.036232226,1.323373809,0.259933907,-0.824998179,-0.042959675,-0.618264399,0.934157986
0,0.224608843,0.665423381,0.878544229,-0.712731689,0.124169919,-0.175192402,-1.193284331,0.881129328,-0.594467027,-0.387909709
1,0.550515967,-0.320046394,-0.048076257,-1.334650675,0.857206783,0.265905565,-1.21332097,-0.557755135,-0.51865026,0.998469827
0,0.346105088,0.09781491,0.123360367,0.497210682,0.072463759,-0.771160952,-0.802729417,1.0887464,-0.149067825,0.125666275
0,1.001642699,0.444471466,-1.880838296,-0.430599507,1.012684165,0.013492116,-0.993498878,0.427775093,-0.792907258,-0.131581087
1,1.213037095,-0.25975143,-0.69311804,-0.515183632,0.937509599,-0.796760542,-0.703963547,0.034198486,-0.88081521,-0.526639536
0,-0.941159013,-0.406833493,-0.134455521,0.303590568,-1.678651511,-0.012757415,1.488980213,-1.889358139,0.868599686,-0.54777057
0,0.254309323,0.060211148,1.514330465,0.985501388,0.552419863,-1.036776705,-0.683277091,-0.074687405,2.636252152,0.76602846
1,0.528127926,-0.434959994,0.572077014,0.012229834,0.205829473,0.524227651,0.766257579,-0.897401401,0.597037765,-0.673638029
0,0.565007087,-0.19937575,-1.93753947,0.988442917,-0.18971767,-0.105698093,0.793351378,-0.43832354,-0.646002728,-0.701200247
1,0.078240049,0.04939989,0.254873788,-0.635801049,-0.502449106,-0.022133962,-0.231741306,-1.38942839,-0.085921776,-0.452221549
1,1.537330072,0.071322079,-0.669443331,-0.702947373,0.948151283,-0.619050589,-0.820123399,0.525958694,-0.687870391,-0.186705522
0,0.508067547,0.231827644,-0.292025894,0.133385958,0.967509746,0.652911524,2.347135767,0.257410749,-0.316700865,-0.297873132
1,1.583989454,-0.440698563,0.699179928,-0.973779093,1.248983566,-0.169401891,-0.096309478,-0.114366323,-0.859490211,0.934157986
