Label,original_shape_Flatness,original_glcm_InverseVariance,original_glszm_LowGrayLevelZoneEmphasis,original_ngtdm_Contrast,wavelet.LLH_firstorder_Kurtosis,wavelet.LLH_firstorder_Skewness,wavelet.LLH_glcm_Correlation,wavelet.LLH_glcm_MCC,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,wavelet.LLH_glrlm_RunLengthNonUniformityNormalized,wavelet.LLH_glszm_GrayLevelVariance,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.LHL_firstorder_Minimum,wavelet.LHL_firstorder_RootMeanSquared,wavelet.LHL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LHL_glszm_SmallAreaEmphasis,wavelet.LHH_firstorder_InterquartileRange,wavelet.LHH_firstorder_RootMeanSquared,wavelet.LHH_firstorder_Skewness,wavelet.LHH_glcm_Imc2,wavelet.LHH_glrlm_RunEntropy,wavelet.LHH_glszm_GrayLevelNonUniformityNormalized,wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,wavelet.LHH_glszm_SmallAreaEmphasis,wavelet.HLL_firstorder_90Percentile,wavelet.HLL_firstorder_Kurtosis,wavelet.HLL_firstorder_Maximum,wavelet.HLL_firstorder_Skewness,wavelet.HLL_glcm_Imc2,wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.HLL_glszm_SmallAreaEmphasis,wavelet.HLL_glszm_ZonePercentage,wavelet.HLH_firstorder_Skewness,wavelet.HLH_glcm_Correlation,wavelet.HLH_glcm_InverseVariance,wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.HLH_glszm_SizeZoneNonUniformityNormalized,wavelet.HLH_glszm_ZoneEntropy,wavelet.HHL_firstorder_InterquartileRange,wavelet.HHL_firstorder_Kurtosis,wavelet.HHL_firstorder_Median,wavelet.HHL_firstorder_RootMeanSquared,wavelet.HHL_firstorder_Skewness,wavelet.HHL_glcm_MaximumProbability,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.HHL_glrlm_RunLengthNonUniformityNormalized,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHL_glszm_SmallAreaEmphasis,wavelet.HHH_firstorder_Maximum,wavelet.HHH_glcm_ClusterShade,wavelet.HHH_glcm_JointEntropy,wavelet.HHH_glcm_MaximumProbability,wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,wavelet.HHH_gldm_LowGrayLevelEmphasis,wavelet.HHH_glrlm_RunPercentage,wavelet.HHH_glrlm_RunVariance,wavelet.HHH_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_GrayLevelVariance,wavelet.HHH_glszm_SmallAreaEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_InverseVariance,log.sigma.1.mm.3D_glcm_MCC,log.sigma.1.mm.3D_glszm_GrayLevelNonUniformityNormalized,log.sigma.1.mm.3D_glszm_SmallAreaEmphasis,log.sigma.1.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.2.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glcm_InverseVariance,log.sigma.2.mm.3D_glszm_SizeZoneNonUniformityNormalized,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,log.sigma.3.mm.3D_firstorder_Skewness,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,log.sigma.3.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis
0,0.924078488,1.671871495,-0.207200004,-0.127204439,-0.819679074,-1.736608547,0.711162828,0.190680084,-2.251108735,1.278837416,1.315854332,-0.854782201,-0.009632126,-0.690315902,0.136896407,0.297068367,-0.190103736,0.017972176,0.337363096,0.204503776,-0.130891706,-0.207936721,0.463815995,0.231555741,-0.3032786,-1.065664018,-0.505727169,-0.633535453,-0.12029662,-0.356927277,-0.24579362,-0.893156077,-0.607723266,1.028018657,0.626627321,1.272886688,1.899646554,-1.262192469,0.257472463,-0.546853923,-0.937137162,0.18580622,-0.744921957,0.35061366,-0.136175279,-0.502843206,-0.402003594,-0.396522276,-0.388502554,1.036564033,0.48791876,0.855910427,-0.07415581,-1.546461009,1.714604979,1.462070526,0.104274768,-0.727224823,-1.776940735,1.714659181,0.603081267,-0.656225925,1.280451678,-1.409672504,-0.325655462,1.70000986,-0.854059478,-0.244551756,0.324437468,-0.228329244,0.398785871,-1.698313469,-0.140070886,-0.451753585,-0.673908199,0.631838479,-0.340531712
0,-1.357001727,-0.698388201,-0.435437617,-0.936788516,-0.134313953,0.714035559,-0.400544917,-0.532648664,0.416735003,0.388334557,-0.373641598,-0.511872603,0.237715725,0.474648179,0.774841003,0.103485129,0.081804145,-0.776673375,-0.321928873,0.56067466,0.017454336,0.549341447,-0.624607803,-0.664244842,0.408794222,0.401837565,0.700215542,2.291683246,0.433676815,0.245021135,-0.494522637,-0.76294816,-0.03296804,-0.956343387,0.03288878,-0.626477692,-1.2176576,1.501611786,-0.763845267,0.235495526,1.046725502,-0.96619826,0.308911645,-0.406488507,-0.357765522,-0.087569856,0.727869861,-0.405154443,-0.604743525,0.125307488,0.519806573,1.224498399,0.511151441,0.556250922,-0.036850431,0.354985924,-0.645163212,-0.594263384,0.169912436,-0.168771448,-1.080942771,0.739220052,0.126349984,0.972729026,0.56946484,-1.027454433,0.237253615,-1.365078694,0.523529843,0.211630981,0.694263771,0.394972605,-0.539762325,-0.019524767,0.519741963,1.102296216,1.803146077
0,-1.121628195,-0.215887103,0.501360236,-0.815415826,-0.780721741,0.450354966,-0.032774011,-1.185598386,1.033946794,-1.172448887,-0.488103092,1.021903452,-1.611381668,0.570009231,1.075879929,-0.090820163,-0.145459567,-0.773468091,-0.422026762,-0.012425239,-1.1203762,0.13133257,0.2308112,-0.700893751,0.183461094,-0.146307062,0.359254865,1.22735311,-0.581748227,-0.546599275,-0.76583818,0.717776264,0.039443317,-0.702320698,0.113531218,-0.271555419,-0.781659355,1.362625838,-0.859612226,0.03363587,1.607112932,1.300187515,-0.111403281,1.282039921,0.67513795,0.065405436,-1.308081494,0.559972873,0.69795154,-1.651376934,0.124591298,1.431397873,0.647333907,1.317994451,-1.259043259,0.110543337,-0.738843234,-0.570347276,0.407578704,-0.290100591,-1.274102567,1.307032789,0.614171809,1.04291034,0.496679601,-0.933364835,0.363164179,-0.303273828,-0.130875593,0.211738361,-0.401401802,-0.58264919,-0.559372787,2.934405577,0.969282147,-0.383843032,0.051513157
0,-0.262564283,-0.760023998,-0.721489924,-0.907613708,-1.170907027,-0.184654894,-0.326618057,-0.391625896,-0.075753041,0.374135415,0.166451383,0.243441359,-1.887954838,0.689991033,-0.858537682,0.012082783,-0.401608913,-0.436393794,0.081949284,-1.115460649,-0.090585638,0.927405332,-0.944969811,-0.990978212,0.590881052,0.676290012,0.167451626,0.900002711,-0.1038451,0.569607075,-0.986831411,-0.420499709,0.771871267,0.183492442,-0.053749628,-1.036640889,-1.058134303,1.471815556,-0.786926618,-0.501770143,1.200740313,-0.831837264,0.572591218,0.848273131,0.949950457,0.097044826,0.551133041,0.383506364,-0.723643851,-0.140379083,-0.140177532,1.884884598,0.18095934,0.356560227,-0.006857389,0.760298221,-0.377886519,-0.596042881,-0.463063688,0.689369496,-1.133253019,0.660280267,0.539870186,0.911263174,0.357849682,-0.839922559,0.109574624,0.717865592,0.265602023,0.21106282,-0.083538125,0.072291037,-0.545887255,0.155071004,-0.395958305,-0.189781575,0.544990905
0,0.11764099,-0.497972512,-0.435437617,-0.522939211,-0.10600465,-0.05433927,-0.795700159,-0.647704536,1.146833791,-0.450630192,-0.413885119,2.974880234,-0.069615767,-0.088641169,-0.261320605,-0.645527848,-0.195649687,0.206609538,0.693861315,-0.18339426,-0.312502456,-0.155636821,-0.541217736,-0.679508425,-0.271303169,-0.457723746,0.068183674,-1.216248874,-1.549559453,-0.460008231,0.093781895,0.434735544,-0.313692324,-0.049758548,-0.75952256,0.478675849,0.005461877,-0.108465249,-0.40228091,2.230507041,-1.070197067,0.123668332,0.330549387,-0.637539626,-0.770027788,0.95174987,-0.645673674,-0.198351406,0.265674372,0.570457616,0.695887618,0.363800932,0.228757811,0.092055126,-0.163702871,-0.619238268,0.406637983,0.283557448,0.063434004,-0.120908331,0.534667845,-0.551750453,-1.531675536,0.638123624,0.051528492,-0.426260474,1.233067223,-0.183903257,-0.209376531,0.194410085,-0.328836373,0.723295412,-1.017076424,-0.487401528,-1.061597071,-0.670052108,-0.288972598
0,-0.729987673,-0.791880984,1.125892137,-0.7965131,0.177642552,1.134702425,-0.198241675,-0.615124672,0.372835832,-0.250636909,-0.211339484,0.670671668,-0.92085851,-0.096088957,-0.438197916,-0.609399052,-0.136294337,0.559440989,1.635243649,0.191821661,-0.1590907,1.489505652,-0.967190664,-1.101122406,0.152642831,-0.022791231,1.062149793,0.725394072,0.377629714,-1.17335602,-0.438531945,1.14239647,-0.66445179,-0.730725202,0.050105848,0.548299026,-0.485847469,1.155199713,-0.915133736,-0.213574297,0.979885454,0.259071742,-0.364746739,-0.364247885,-0.491662296,-0.032501754,-0.540998925,-0.265276693,0.230052273,-0.702791855,-0.802867798,1.12643154,0.450309478,1.59197311,-1.191954156,1.174897162,-1.38968038,-1.102188005,0.579603239,-0.429585701,-1.214060776,1.591808648,0.86693637,1.01227225,0.263943472,-0.933907879,1.073878156,0.570521119,-0.222976946,0.209443416,-1.185419036,-0.268499313,-0.252147009,0.518830041,-0.548414882,-0.462853814,-0.17006451
1,1.552898742,-0.214213523,0.501360236,-0.279424432,-0.470461567,-0.224206619,-0.164832303,-0.893034619,0.172458784,-0.376979768,-0.051233822,-0.461344242,0.538430442,0.875094919,1.650477351,-0.153679228,1.404267097,0.332594971,-1.450060597,-0.399679962,-0.020965981,1.238339049,-0.931318975,1.815043664,0.410335358,0.056786227,1.622992774,1.460756222,0.751784344,-0.082035927,-0.629352705,1.531127238,0.003316664,0.313366757,-0.567934351,0.210786327,-0.837021779,1.291509808,-0.895171048,0.597527719,0.565121704,0.082092285,0.101898135,0.079402903,-0.262415008,-0.244167046,-0.330295176,0.609523272,-0.053917078,-0.282434184,1.200434767,0.793322982,-0.426947933,0.745677315,-0.499631998,0.471416205,-0.52108434,-0.586667209,-0.15533184,0.100440214,-0.664411298,0.687228705,0.625233473,0.198563464,-0.144016934,-0.017511295,1.233067223,0.166079531,-0.033090488,0.192078141,-1.342569648,0.924368209,-0.343533867,0.256621382,-0.660176676,-1.086755238,-0.31953379
0,-0.546797524,0.192988155,0.113674222,-0.22603607,0.153442568,1.20245137,0.226318676,-1.317133291,0.320133147,-0.558252199,0.148447848,0.87561262,-0.485030331,-0.107963828,-0.315534174,-0.29086844,0.617790454,0.974367085,0.911030625,0.178434505,-0.588291324,1.024716007,-0.557546302,-0.35590509,1.276239904,2.0934778,0.44098622,2.172762019,1.316294083,0.613818547,-0.632247083,-0.520404371,0.758113693,-0.474693995,0.565197181,0.198327536,-0.033249749,0.014778475,-0.215942732,-0.303782201,0.548989063,1.647564009,-0.043542812,1.171737591,-0.802178676,-0.656633461,-1.43166021,1.818213358,1.122319831,-1.26294179,-0.352496119,0.363729895,1.207249569,1.454524634,-1.017446935,0.041371549,-0.748817725,-0.544620444,0.511826426,-0.510816968,-1.158217987,1.594475627,0.18769628,1.099176732,0.312992361,-0.711372416,1.561288303,-0.171506568,0.270335397,0.211728968,1.115732101,-0.30613256,-0.674971292,-0.228106178,0.463307254,1.768150825,-0.220445094
0,-0.513926105,-1.251078833,-0.435437617,-0.947255706,-1.469706219,0.643622836,-0.160676901,0.442089189,0.866642835,0.370983775,-0.278847671,0.706842918,-0.090934287,0.505332226,-1.368274694,-0.232858413,0.209387512,-1.896396644,0.973735391,0.496010016,-0.266994843,0.00140955,-0.440335706,-0.558392179,-0.222791427,-0.526085289,1.214928034,0.331607658,-0.353784152,0.110183668,-0.277245548,-0.352187613,-0.295394155,-1.317017095,-0.187563649,-0.529315839,-0.996570076,1.371682802,-0.772089002,0.36278579,0.81423986,-0.633622362,0.043013106,0.108608457,-0.103110766,0.128889615,0.392831848,-0.13321706,-0.148455369,-0.222145218,1.550650178,0.62524818,0.398667158,1.034175635,-0.477082344,0.153098773,-0.731283286,-0.558261823,0.404077579,-0.121513117,-0.88212876,0.600936676,-0.836282061,-0.139989527,0.069855783,-0.262593239,-0.419429138,-0.637120278,1.296312349,0.212071118,0.405837851,0.220987778,-0.691485366,0.761163336,0.203295643,-0.738595967,-0.070556145
0,-2.050272886,-0.2290995,-0.806570125,-0.709758606,-0.482842602,-0.134623891,-0.56622263,-0.699820356,-0.472214165,1.10037991,-0.085081541,-0.029189523,-0.381986876,0.08710966,-0.666991779,-0.325388331,0.23120058,0.297028305,0.919139,0.85216315,-0.316029619,0.319615526,-0.922790691,-0.802766893,0.250798573,0.271749952,-1.192834393,-0.649414741,-0.612980457,0.293384315,-0.237236315,0.850602795,1.121707912,0.195380747,-0.333903146,-0.292517468,-1.018047086,1.416565681,-0.854417361,0.463837372,0.892195398,0.113957891,-0.199016257,-0.554036862,-0.734091883,-0.268122088,-0.348655047,0.251562148,0.722436192,-0.740930512,-0.741749199,-0.328455383,0.088953201,-0.228126829,0.100261451,-0.706859324,0.31656982,0.363251769,0.342939297,-0.327088984,-0.160863803,-0.755963912,0.345488712,0.98804199,0.204081432,-0.898217698,-0.431950631,0.207814598,0.454363233,0.208964056,0.995892262,0.599951837,-1.214898381,-0.330657529,0.093139252,-0.483221136,-0.023108248
