Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
0,-0.038512279,-4.032799406,-1.40492672,-0.863772961,-1.406353717,-0.158108444,-0.232938399,-6.601347725,-0.230751997,1.005819751
0,0.218207736,0.572677343,-0.269368939,0.032587827,0.633596788,-0.329498669,-1.097680731,0.092081321,-0.770320305,0.686098029
1,0.0619642,0.012052821,0.865592252,-1.178090281,-0.854340513,1.54090128,1.031279348,-0.017330975,-0.033310664,-0.133418568
1,0.719183775,0.033313253,-0.213211484,-0.439982617,0.980806338,-0.231344586,-1.046709237,0.328081811,-0.772764966,-0.370453638
1,0.725911539,-1.273109623,0.916272973,-0.178444093,0.364879448,-1.518180289,-0.567718679,0.22268633,0.098065716,1.081156479
0,-0.213716687,-0.16932529,-0.3494247,-0.24673348,-0.624814053,-0.050878929,0.752940015,-1.003172367,-0.11397172,0.567580494
0,-0.272586089,-1.571827154,0.060512545,-0.946749419,0.235146312,-0.055904937,-0.687018164,0.633483599,-0.445761332,1.998059578
0,0.41892316,0.030999028,1.070313171,0.813655337,0.559868158,-0.956795074,-1.045869695,0.032212064,-0.469254018,0.768784682
0,-1.557885576,-0.48094003,0.690625681,0.907446434,-0.899137767,0.092877355,1.291990848,0.22034127,0.06540944,-0.550526792
1,0.224130547,-1.173825923,-1.347616086,0.307965067,-0.124052176,0.095894244,0.123540072,-0.753467413,-0.434060584,2.007246984
1,0.28685572,0.385404612,-1.170228112,-0.170916218,0.781575231,-0.50730846,-1.199035502,-0.002591288,-0.816172348,-0.021332217
1,1.092543907,0.42325288,0.188863384,-0.574816609,1.240451063,0.209617787,-0.979455684,1.178339087,-0.611801325,-0.16833071
0,-0.461868682,2.460511895,0.249303908,-1.364294703,-0.575378741,0.264611098,-0.193101178,-1.762428399,3.744820358,1.999897059
1,0.545299152,1.251902987,1.002007874,-1.258447655,0.803773193,0.525884301,-0.004823033,-0.325712186,-0.550926157,-0.409959483
1,1.155065528,0.439937889,0.296491394,-0.8194932,0.338245335,-0.068122283,-0.764016625,-0.2505115,-0.793910076,0.076973025
1,0.525164737,0.323470338,0.24941264,-1.654879129,-0.777703373,-0.345292821,-0.39647028,-0.683938832,-0.006689285,-0.175680635
0,0.565007087,-0.19937575,-1.93753947,0.988442917,-0.18971767,-0.105698093,0.793351378,-0.43832354,-0.646002728,-0.701200247
0,0.389196699,0.167825691,-1.596851948,-0.231105262,-0.285174486,0.541194797,0.471053121,0.467929247,-0.464237922,-0.710387653
0,0.841602005,-0.00365628,-0.633334038,-0.154772651,0.321826649,-0.738941976,-0.597231484,0.176527366,-0.786610186,0.189978116
0,-0.365517368,0.156664948,0.664250623,0.23226098,0.804269199,-0.818278155,-1.137487368,0.256593522,-0.654850905,0.088916652
0,0.042830191,3.072499244,-1.770178583,-0.401455405,-0.968346061,3.177509087,1.679855729,-3.156238598,0.184850762,-0.281335802
1,1.099646528,0.044940924,0.781716533,0.04059856,1.001428149,0.537894558,-0.509661237,-0.26764411,-0.255596886,0.246940032
1,-0.45977219,0.17285279,0.407825421,-0.293020651,0.196632331,-0.120105037,-0.263941631,-0.610209984,-0.577188458,-0.875760957
0,-1.720955158,0.606015334,1.018443878,-0.996051933,-0.080288608,0.966385488,-0.479837599,-1.070624253,0.590800829,1.540526769
1,0.918127484,0.123277577,1.170739417,0.119687381,-0.043353196,-0.470330949,-0.967445885,0.289823952,-0.457709031,0.003473778
