batch,Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
1,0,0.097055816,0.771758825,-0.956514829,-1.086539608,2.241417418,0.954485758,-1.364451529,0.447631706,1.378252441,1.106547532
1,0,0.096437484,0.538566835,-0.390259168,0.225051974,1.685341494,1.740658245,-1.079688762,0.379903401,-1.239086127,0.561904991
1,0,0.091323112,0.706808745,-0.773338892,-0.938920932,0.731471906,0.712197048,1.056968584,0.70741333,-0.146957872,0.988562641
1,0,0.086349309,0.923491898,-0.732730863,0.699356469,0.238683634,0.36492476,-0.703591192,0.028203217,-0.903386161,0.42838353
1,0,0.09281225,-3.262310283,1.075417308,-1.783437068,1.826817793,6.599366123,-0.768830117,0.496993252,1.521958254,-0.744506516
1,0,0.093663972,0.989401985,-1.090796789,-0.96745249,1.253242733,0.570218318,-0.145720978,0.311479408,0.720809465,0.220400764
2,0,0.179730178,-1.533533519,1.572215871,0.088023734,-0.012136293,-1.114385045,-0.014653178,0.413892071,0.303359638,0.060369231
1,1,0.09245742,0.856918049,-0.990290323,-1.121665369,0.63229799,1.612477953,0.096176136,-0.161494101,0.950372774,1.447621628
1,1,-1.049892138,-1.462597816,1.756781879,1.729593943,-0.325107929,0.198734729,-1.184606168,2.487662873,-2.15768518,-0.163622529
1,0,0.091838633,0.67877567,-0.773407771,0.612979526,0.924834846,0.132853772,0.814827315,0.31338761,-0.714112706,0.64512013
1,0,0.086174041,0.125583252,-0.035242704,-0.219918878,0.367063634,-0.527978572,-1.035511022,-0.22066387,0.812730799,0.479920287
1,0,0.091829195,0.926478752,-0.826000848,0.178638258,0.192966713,-0.50757289,1.411752085,-0.321237401,0.76372709,0.194633478
1,0,0.083006102,0.665081326,-0.574306234,-0.088893593,-0.646596666,-0.284732875,-0.036305323,-0.120294394,0.202244045,-1.089114675
1,0,0.085451969,1.007045706,-0.827244606,-0.28955494,-0.494294169,-0.219639968,-0.007448766,-0.569572486,1.091049045,-0.47922735
1,0,0.091963441,1.002672502,-0.908736421,0.220532201,-0.374982362,0.799664069,-0.058986798,0.164798114,-0.116924513,-0.060212557
1,0,-0.004808768,-1.175458343,1.324637726,-0.276657709,-0.890657748,-0.89864267,-0.769093602,-0.095005617,0.582867096,-0.532860614
1,0,0.094770948,1.078643001,-0.959783302,-0.467815158,1.24997335,0.497761772,-1.244706027,-0.544808372,0.486919052,0.968752865
2,0,0.331009509,0.323491016,-0.41327136,-0.206189434,0.862044649,0.379619827,-0.905639475,-0.125875908,-0.042298425,0.725299231
2,0,0.331002202,0.809599716,-0.614508547,-0.455184242,0.656386701,0.117479234,-0.402016202,0.17780691,0.767624797,0.20948015
2,0,0.331931393,0.416639713,-0.794990692,-0.387268884,1.100767077,0.864839381,-1.034256373,0.095187049,0.041528437,0.955475694
2,0,0.332364176,0.124978666,-0.446345729,-1.083820823,3.698730334,1.649785356,-0.4046019,0.362988257,0.864447874,1.773049394
2,0,0.328063435,0.896632662,-0.829403836,-0.139162359,0.072163309,1.09391511,-0.657838759,-0.478103662,-0.431042693,0.972566694
2,0,0.330900417,0.986043562,-1.08199153,-0.671935425,1.332586576,0.881199774,-0.613546271,-0.205207947,0.66132423,0.36716713
1,1,0.092771872,0.442285921,-0.568262811,0.068990393,2.599722019,1.546678723,-0.962956527,-0.039914519,0.115555159,0.705672695
