batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.1.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.LHH_glszm_SmallAreaEmphasis,wavelet.HHH_glcm_MaximumProbability,log.sigma.2.mm.3D_glcm_Imc1,wavelet.HHL_glcm_MaximumProbability,wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.LLH_firstorder_Kurtosis,wavelet.LHH_glrlm_RunEntropy
1,0,-0.956514829,-0.021147675,0.485842053,-2.02431406,-1.681595372,1.106547532,-0.135469045,0.779548281,-0.382826612,-0.58747188
1,0,-0.390259168,0.490955476,-0.171308585,0.250535765,0.685923005,0.561904991,0.059381521,2.022393201,-0.657211613,-0.264808804
1,0,-0.773338892,-0.342160817,-0.402486343,0.49645803,-0.143492933,0.988562641,-0.268740886,-0.196278324,-0.909023905,-1.368598259
1,0,-0.732730863,-0.871292844,-0.537538407,0.600739656,2.019543093,0.42838353,0.931610922,-0.395703516,0.218615014,0.417991472
1,0,1.075417308,2.76806431,3.658443464,-1.240172464,2.805984312,-0.744506516,2.080067399,6.087052776,-3.291272602,-6.956648946
1,0,-1.090796789,0.080059231,-0.571691751,0.606303769,1.206459506,0.220400764,1.882742292,-0.646711127,-1.688797432,-1.216778281
2,0,1.572215871,-0.721874987,1.102648072,0.48048046,0.022196245,0.060369231,0.645727564,0.473463405,1.026795368,-0.158366236
1,1,-0.990290323,-0.265998691,0.499942503,-2.842748135,1.12288044,1.447621628,1.153744898,-0.119539308,-1.481248683,-2.96980481
1,1,1.756781879,-0.899261015,1.351395343,1.545098715,-0.187041926,-0.163622529,-0.425205638,0.619124821,0.18445474,-0.932450878
1,0,-0.773407771,-0.10009948,-0.693667971,-2.351332439,0.60846857,0.64512013,-1.47E-05,-0.338301649,1.04624118,-0.464254136
1,0,-0.035242704,-0.495196577,-0.574889136,-0.319049506,-0.351167052,0.479920287,-0.262962884,-0.388945064,0.545762699,-0.717756097
1,0,-0.826000848,-0.701444488,0.133330785,-0.355289914,-0.825004555,0.194633478,-1.179703671,0.637263655,0.717183281,0.502543895
1,0,-0.574306234,1.281877595,-0.439500026,0.307626341,-0.321773715,-1.089114675,-0.908952977,-0.443806657,-0.085959831,0.761592167
